set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
disney-plus,2017,0,,,0,0,0.000000,0,0.000000
disney-plus,2018,0,,,0,0,0.000000,0,0.000000
disney-plus,2019,0,,,0,0,0.000000,0,0.000000
disney-plus,2020,1,2020-05-08,2020-07-16,153,2611715,17070.032680,792380,5178.954248
disney-plus,2021,4,2021-03-05,2021-12-08,624,48923620,78403.237179,12070524,19343.788462
disney-plus,2022,3,2022-03-11,2023-02-14,337,15835679,46990.145401,5735605,17019.599407
disney-plus,2023,2,2023-08-07,2024-02-28,447,43800232,97987.096197,7558047,16908.382550
disney-plus,2024,3,2024-07-16,2025-06-21,965,128257245,132909.062176,8914409,9237.729534
disney-plus,2025,5,2025-01-28,2026-04-28,1714,222054276,129553.253209,9844996,5743.871645
disney-plus,2026,2,2026-01-29,2026-09-07,686,112136527,163464.325073,5667651,8261.881924
disney-plus,all,20,2020-05-08,2026-09-07,4926,573619294,116447.278522,50583612,10268.699147
